"idx","balPayments","expDlr","expWgt","hsCd","impDlr","impWgt","statCd","statCdCntnKor1","statKor","year"
1,"13827900","29343051","1317423","3304","15515151","433220","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.01"
2,"7899525","27932164","1273597","3304","20032639","506397","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.02"
3,"20190333","37189582","1643750","3304","16999249","462467","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.03"
4,"19614906","37774522","1804602","3304","18159616","504714","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.04"
5,"20297727","34845351","1504116","3304","14547624","366498","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.05"
6,"25435268","41711700","2069747","3304","16276432","455644","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.06"
7,"33602037","48370578","2164674","3304","14768541","458823","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.07"
8,"25729249","40327681","1985658","3304","14598432","399201","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.08"
9,"28782301","47980403","2074518","3304","19198102","529017","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.09"
10,"24491567","41093132","1905920","3304","16601565","501745","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.10"
11,"28088703","48290610","2107306","3304","20201907","454371","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.11"
12,"31484800","48245711","2039037","3304","16760911","407566","US","미국","미용이나 메이크업용 제품류와 기초화장용 제품류[의약품은 제외하며, 선스크린(sunscreen)과 선탠(sun tan) 제품류를 포함한다], 매니큐어용 제품류와 페디큐어(pedicure)용 제품류
","2020.12"
13,"279444316","483104485","21890349","-","203660169","5479664","-","-","-","총계"
